iterations,mean_reward,mean_yield,mean_leach_total,mean_N_total,mean_W_total
1,-11169.451139767161,10607.014151573181, 9953.616190598048,13630.0,1888.78125
2,-3595.6647152411883,9555.820638298988, 3324.2558841171376,4572.1875,1357.6875
3,-784.3876222071048,4897.38848567009, 736.0566073462533,1011.875,689.8125
4,-178.73826786994934,2587.20836687088, 248.6377116794074,338.4375,291.046875
5,28.206586430072804,1609.871603012085, 95.56917307692311,123.75,116.71875
6,58.07340127348888,1438.449140071869, 61.81145368039779,80.3125,96.140625
7,59.904436463117605,1464.278485774994, 66.57922475226951,58.75,113.671875
8,37.40365059852618,1350.6065754890442, 85.60773624031481,77.8125,104.109375
9,55.67356580384059,1182.6254232525826, 55.37795680115596,48.4375,84.46875
10,93.20827479600904,1069.3858432769775, 49.72864616602601,36.5625,42.609375
11,91.60833673596377,1239.5800805091858, 54.33927753895114,63.75,48.984375
12,84.15022987723349,951.2376189231873, 48.89271472994369,35.625,34.546875
13,95.10635379195206,965.7740049362183, 40.553505233634496,23.75,35.203125
14,87.03931416392322,979.0265226364136, 40.2860701671425,32.5,38.15625
15,114.68219820141786,944.6262612342834, 39.651865804058616,20.0,17.0625
16,101.6195409405231,980.2067584991455, 36.73997126039649,20.9375,33.375
17,110.86001828908911,1115.8367557525635, 47.77816331480881,36.5625,33.234375
18,107.26420353531834,1127.5819911956787, 51.01800380490022,38.4375,36.84375
19,119.45235789060597,1103.7135095596313, 44.50983999172786,25.9375,31.3125
20,92.73070454478261,1160.528594493866, 63.089854006563655,63.75,36.609375
21,129.55984106421462,1143.1002678871155, 43.74563717718411,29.375,25.3125
22,113.26553041100497,1177.353051185608, 42.317290740542376,45.625,33.375
23,128.38246163368225,1347.0409107208252, 50.29125821149319,45.9375,43.78125
24,123.94870386958117,1346.4119009971619, 57.99892817904038,65.0,34.03125
25,127.5622090554237,1294.539303779602, 44.24050808184984,40.0,41.25
26,122.37750965952867,1338.554268360138, 44.03260033405968,49.6875,45.328125
27,116.230012923479,1486.0780282020569, 48.724371351491754,58.125,66.046875
28,93.72112164616594,1527.7543320655823, 89.82056149886466,124.0625,45.140625
29,123.1185805046558,1356.2687187194824, 58.92869378309115,67.5,34.40625
30,148.04789442300813,1347.3165855407715, 40.399874534614355,29.0625,38.0625
31,151.62298100709933,1453.5572514533997, 43.9601889924088,49.375,35.484375
32,133.0743025827407,1493.330253124237, 51.57440627725737,64.6875,47.0625
33,167.88517180562022,1938.642300605774, 59.463437715385226,84.6875,65.015625
34,165.10098729252817,2245.0022983551025, 78.90124997557359,132.1875,77.4375
35,192.84260943532007,2129.581386089325, 52.635903198525284,93.4375,63.46875
36,147.43222067713748,1901.212643623352, 55.03747293280321,90.625,73.96875
37,210.2512044835094,2664.327244281769, 87.19263673689875,150.9375,83.15625
38,260.61391471743593,3252.827377319336, 70.77166308835876,182.5,99.234375
39,346.937927261591,4418.32747220993, 100.34959025572607,264.6875,129.140625
40,376.25000265121486,4708.0103058815, 99.39521192686516,249.6875,154.875
41,465.2237594211103,5636.612008094788, 102.9351693505032,308.75,164.953125
42,581.7153894913197,6604.755246162415, 102.72361348747017,345.0,172.078125
43,569.8826662433147,7417.414053440094, 156.1503472018694,482.5,200.8125
44,591.2440845370294,7888.906407356262, 185.30656991288015,521.5625,221.0625
45,698.4355943596361,7477.559143066406, 112.88884475814348,349.6875,187.96875
46,745.5069106566904,8358.568283081055, 143.84428938215768,413.4375,225.9375
47,772.9845144689082,8382.487021446228, 128.18758869407702,398.125,215.390625
48,762.2528411900996,7943.184535980225, 109.23424848211289,356.875,191.671875
49,770.9521952819822,8583.844968795776, 164.41307890618464,428.4375,224.390625
50,800.2780852115154,8375.919435977936, 132.0568620822068,394.375,192.328125
51,843.0734594631194,8242.207431793213, 90.51663020507401,314.375,191.671875
52,849.7922365856165,9185.17633342743, 147.62196316663403,485.0,198.46875
53,939.0476018810268,8759.092790603638, 83.62556889279404,290.0,196.171875
54,918.0498030161855,9165.010626792908, 121.68448200644889,381.25,208.03125
55,991.4792941546434,9680.81239414215, 122.93685221747842,385.0,212.671875
56,984.5445653891557,9875.529280662537, 132.66225440373637,437.8125,209.015625
57,951.1933623361582,8691.91802406311, 78.7925005225743,264.0625,194.109375
58,960.2828617095946,9710.06753540039, 126.45751018274888,429.6875,213.140625
59,948.3440511167049,9642.456454753876, 139.82145941901945,420.3125,221.015625
60,1028.1879729843133,9701.278716087341, 95.30128901616808,344.0625,211.640625
61,1048.336393542289,9717.556257247925, 100.04364579582943,310.0,220.125
62,1049.8853615355488,9879.327786445618, 104.01902934714599,344.375,217.265625
63,1044.0087880098818,9937.041374206543, 107.69537705806397,369.6875,212.71875
64,1035.6423125219342,9999.40744972229, 116.10623434178888,401.5625,206.390625
65,1077.025633130073,9720.168197631836, 88.54878062661373,294.375,205.640625
66,1037.7413351869582,9470.465312957764, 88.5167596095198,285.9375,211.546875
67,1041.3694582152357,9672.631099700928, 105.76182704661755,324.0625,209.90625
68,1078.1824878454206,10108.927938461304, 108.30726587492973,371.25,205.21875
69,1081.9130916619308,10091.874806404114, 107.27071418653213,355.9375,210.375
70,1165.1340664339066,9997.515815734863, 72.94062349600881,245.625,200.390625
