episodes,mean_raw_ep_return,mean_yield,mean_leach_total,mean_N_total,mean_W_total
20,-7.137300317167319,-62261.61159800077,11297.98828125,9985.621850850153,12752.0,1841.1
40,-5.602504680908896,-63406.41639519129,11297.98828125,10166.742810288259,13014.0,1818.3
60,-5.360834560426883,-60611.10201416882,11297.98828125,9709.679934083764,12474.0,1848.3
80,-5.557962868621144,-62430.22439705348,11297.98828125,10013.564410660696,12804.0,1818.0
100,-5.350769711692192,-59858.176642626524,11297.98828125,9594.254859775305,12306.0,1840.5
120,-5.262193368774751,-58397.521344289744,11297.98828125,9366.54380010795,12034.0,1790.4
140,-5.218391465947343,-57536.14100040523,11297.98828125,9241.007731331047,11782.0,1808.7
160,-5.124148704207937,-56092.88938214448,11297.98828125,8999.957407678896,11616.0,1736.7
180,-5.011266226924818,-54378.67378078941,11297.98828125,8740.514287407883,11238.0,1697.7
200,-4.651970050589261,-50071.124935170265,11297.98828125,8053.364518284053,10398.0,1665.9
220,-4.377314267912152,-46555.964985886356,11257.58916015625,7524.736564071803,9622.0,1561.8
240,-4.0898639274721065,-42954.78617781312,11297.98828125,6949.836766812625,8946.0,1519.2
260,-3.605853875424782,-37428.468787223566,11297.98828125,6078.213288694713,7848.0,1449.0
280,-3.234147505932924,-33193.80143453144,11288.1892578125,5420.827857707069,6952.0,1395.3
300,-2.731840715104545,-27774.08845824953,11297.98828125,4553.077222899907,5984.0,1284.3
320,-2.196766568015937,-22188.23032244416,11171.213525390625,3668.8746069693007,4906.0,1172.1
340,-1.7898153440013176,-18010.942023129763,11211.996044921874,3011.808245934546,4042.0,1152.3
360,-1.522133047485795,-15287.707501105358,11297.98828125,2587.8810314710718,3518.0,1089.9
380,-1.1632404560914438,-11673.394675495942,11286.41865234375,2013.235680704657,2828.0,1036.5
400,-0.760940342749268,-7646.425695192488,11234.468359375,1395.5638719486537,2032.0,883.5
420,-0.4895199000721163,-4931.209401362366,10825.665747070312,961.8485099111451,1424.0,863.1
440,-0.3248731071274051,-3281.711432979442,11100.787353515625,705.4737807365134,1136.0,838.5
460,-0.19533840467985328,-1977.8279793204506,11047.239794921876,506.4351832664339,912.0,743.1
480,-0.12783878719494624,-1295.879323979211,10801.609375,402.2002397958422,736.0,709.2
500,-0.05082491031520249,-515.6439956212183,8075.150494384766,214.1348174958257,436.0,624.0
520,-0.015571019881270232,-157.9443265059148,10108.32607421875,207.0419097347767,506.0,638.4
540,0.007676030699335002,77.66973493663245,9173.315612792969,152.4186720312282,376.0,618.9
560,0.008198973113104557,82.63652456693816,9404.616833496093,156.7973673278233,384.0,630.3
580,0.01716652912402523,172.6207844244869,8809.121948242188,129.56072348619637,336.0,605.4
600,0.03748019923980195,375.7848401089868,9348.678173828124,116.05015783269482,332.0,581.7
620,0.034496749639054344,344.40040813616736,7973.588623046875,97.32346146358684,230.0,533.7
